Port St. Lucie ,FL,"154,353"
Pembroke Pines ,FL,"145,661"
Hollywood ,FL,"141,740"
Coral Springs ,FL,"125,783"
Gainesville ,FL,"114,916"
Miami Gardens ,FL,"109,346"
Miramar ,FL,"108,484"
Clearwater ,FL,"105,774"
Pompano Beach ,FL,"101,943"
Palm Bay ,FL,"100,786"
West Palm Beach ,FL,"98,779"
Lakeland ,FL,"93,333"
Davie,FL,"90,238"
Sunrise ,FL,"89,026"
Boca Raton ,FL,"85,670"
Miami Beach ,FL,"84,633"
Deltona ,FL,"84,408"
Plantation ,FL,"83,628"
Melbourne ,FL,"77,351"
Deerfield Beach ,FL,"74,584"
Largo ,FL,"72,732"
Palm Coast ,FL,"72,316"
Boynton Beach ,FL,"68,291"
Lauderhill ,FL,"67,073"
Fort Myers ,FL,"65,394"
Daytona Beach ,FL,"64,211"
Delray Beach ,FL,"64,092"
Weston ,FL,"63,628"
Kissimmee ,FL,"62,291"
Tamarac ,FL,"59,340"
Homestead ,FL,"57,936"
North Miami ,FL,"55,908"
North Port ,FL,"54,907"
Ocala ,FL,"54,801"
Port Orange ,FL,"54,616"
Wellington,FL,"54,530"
Margate ,FL,"54,086"
Pensacola ,FL,"53,820"
Bradenton ,FL,"53,513"
Sarasota ,FL,"52,340"
Sanford ,FL,"50,634"
Coconut Creek ,FL,"50,436"
Palm Beach Gardens ,FL,"49,227"
Jupiter,FL,"48,879"
Pinellas Park ,FL,"47,173"
Titusville ,FL,"44,756"
Coral Gables ,FL,"42,781"
Bonita Springs ,FL,"42,730"
Oakland Park ,FL,"42,293"
North Lauderdale ,FL,"41,772"
Fort Pierce ,FL,"40,885"
Altamonte Springs ,FL,"39,947"
Hallandale Beach ,FL,"38,683"
North Miami Beach ,FL,"37,997"
Ormond Beach ,FL,"37,984"
Apopka ,FL,"37,935"
Panama City ,FL,"36,644"
Riviera Beach ,FL,"36,430"
Dunedin ,FL,"35,988"
Lake Worth ,FL,"35,513"
Winter Haven ,FL,"33,353"
Plant City ,FL,"32,761"
Winter Springs ,FL,"32,667"
Oviedo ,FL,"32,606"
Ocoee ,FL,"32,290"
Greenacres ,FL,"32,174"
Lauderdale Lakes ,FL,"31,004"
Royal Palm Beach,FL,"30,312"
Cooper City ,FL,"29,422"
Winter Garden ,FL,"29,385"
